system:index,Address,Country,Crop_Type,EVI,Elevation,Formatted_address,Latitude,Location_Type,Longitude,NDVI,NDWI,Nitrogen_High,Nitrogen_Low,Nitrogen_Medium,Phosphorous_High,Phosphorous_Low,Phosphorous_Medium,Potassium_High,Potassium_Low,Potassium_Medium,Rainfall,Region,Status_geocode,Type,pH_Acidic,pH_Alkaline,pH_Neutral,.geo
00000000000000000024,"Alluri Sitarama Raju, Andhra Pradesh",India,"Paddy, Millets, Maize",0.9554030874785592,98.0,"Andhra Pradesh, India",15.9128998,APPROXIMATE,79.7399875,0.4142132103443146,-0.4397820234298706,8.22,34.34,57.45,42.44,32.61,24.95,16.06,45.5,38.44,750.0697215795517,Andhra Pradesh,"Ok, partial match","administrative_area_level_1, political",2.22,0.06,97.72,"{""type"":""Point"",""coordinates"":[79.7399875,15.912899800000002]}"
00000000000000000033,"Palnadu, Andhra Pradesh",India,"Cotton, Chillies, Groundnut",0.9554030874785592,98.0,"Andhra Pradesh, India",15.9128998,APPROXIMATE,79.7399875,0.4142132103443146,-0.4397820234298706,2.5,57.43,40.07,23.74,28.23,48.03,75.9,7.49,16.6,750.0697215795517,Andhra Pradesh,"Ok, partial match","administrative_area_level_1, political",0.1,6.28,93.62,"{""type"":""Point"",""coordinates"":[79.7399875,15.912899800000002]}"
00000000000000000032,"NTR, Andhra Pradesh",India,"Paddy, Sugarcane, Banana",0.9554030874785592,98.0,"Andhra Pradesh, India",15.9128998,APPROXIMATE,79.7399875,0.4142132103443146,-0.4397820234298706,0.01,94.01,5.98,38.02,39.07,22.91,55.74,8.42,35.83,750.0697215795517,Andhra Pradesh,"Ok, partial match","administrative_area_level_1, political",0.23,58.9,40.87,"{""type"":""Point"",""coordinates"":[79.7399875,15.912899800000002]}"
00000000000000000038,"Sri Sathya Sai, Andhra Pradesh",India,"Groundnut, Pulses, Millets",0.9554030874785592,98.0,"Andhra Pradesh, India",15.9128998,APPROXIMATE,79.7399875,0.4142132103443146,-0.4397820234298706,0.01,93.26,6.73,76.63,2.54,20.83,58.36,2.52,39.11,750.0697215795517,Andhra Pradesh,"Ok, partial match","administrative_area_level_1, political",0.03,0.15,99.82,"{""type"":""Point"",""coordinates"":[79.7399875,15.912899800000002]}"
00000000000000000027,"Annamayya, Andhra Pradesh",India,"Paddy, Groundnut, Pulses",0.9554030874785592,98.0,"Andhra Pradesh, India",15.9128998,APPROXIMATE,79.7399875,0.4142132103443146,-0.4397820234298706,0.47,95.95,3.58,45.64,20.67,33.69,38.53,3.89,57.58,750.0697215795517,Andhra Pradesh,"Ok, partial match","administrative_area_level_1, political",0.3,4.88,94.82,"{""type"":""Point"",""coordinates"":[79.7399875,15.912899800000002]}"
0000000000000000002f,"Krishna, Andhra Pradesh",India,"Paddy, Sugarcane, Turmeric",1.1174985075901502,41.0,"Krishna, Andhra Pradesh, India",16.6099914,APPROXIMATE,80.7214417,0.4550585448741913,-0.4899725317955017,2.99,30.57,66.44,48.69,18.79,32.52,93.49,0.71,5.8,965.4703518748283,Andhra Pradesh,Ok,"administrative_area_level_3, political",0.09,1.77,98.14,"{""type"":""Point"",""coordinates"":[80.7214417,16.609991399999995]}"
0000000000000000003f,"West Kameng, Arunachal Pradesh",India,"Maize, Millets, Pulses, Large Cardamom",1.3898945380135368,1527.0,West Kameng,27.3427633,APPROXIMATE,92.302446,0.6545589566230774,-0.6716417670249939,5.88,37.68,56.44,25.27,10.86,63.87,5.25,40.16,54.58,644.2647122144699,Arunachal Pradesh,Ok,"administrative_area_level_3, political",84.87,0.07,15.05,"{""type"":""Point"",""coordinates"":[92.302446,27.3427633]}"
00000000000000000040,"East Kameng, Arunachal Pradesh",India,"Maize, Millet, Orange, Ginger",2.6397127692788014,2273.0,East Kameng,27.6141916,APPROXIMATE,92.8577105,0.8458049893379211,-0.7693213224411011,43.1,15.93,40.97,1.2,12.19,86.61,59.07,1.91,39.02,907.3944940567017,Arunachal Pradesh,Ok,"administrative_area_level_3, political",57.42,0.0,42.58,"{""type"":""Point"",""coordinates"":[92.8577105,27.614191600000005]}"
00000000000000000041,"Pakke-Kessang, Arunachal Pradesh",India,"Maize, Ginger, Turmeric, Vegetables",2.818393608212408,630.0,Pakke Kessang,27.0471985,APPROXIMATE,93.0175712,0.8654668927192688,-0.7767452001571655,38.28,17.7,44.02,1.24,19.09,79.67,57.48,3.35,39.16,1848.3853204250336,Arunachal Pradesh,Ok,"administrative_area_level_3, political",68.22,0.0,31.78,"{""type"":""Point"",""coordinates"":[93.0175712,27.0471985]}"
00000000000000000045,"Lower Subansiri, Arunachal Pradesh",India,"Rice, Maize, Ginger, Millet",0.4902699367009835,1570.0,Lower Subansiri,27.5910076,APPROXIMATE,93.8248241,0.19930244982242584,-0.2967291474342346,14.83,0.83,84.33,99.36,0.32,0.32,2.86,19.22,77.92,1591.8364777565002,Arunachal Pradesh,Ok,"administrative_area_level_3, political",22.24,0.0,77.76,"{""type"":""Point"",""coordinates"":[93.8248241,27.591007599999994]}"
